i;t;RTFR ;Pop;RoadDensity;Cars            ;Buses;Trucks;Alco;BlackIce;SnowStorm;Heat
15;2;22,50;1338,2;210,94;319,00;1,92;6,43;10,63;0,0000;0,0000;0,0000
15;3;23,20;1329,7;230,19;340,50;1,91;6,31;9,86;0,0000;0,0000;0,0000
15;4;26,20;1320,2;243,90;363,75;1,91;6,06;8,79;0,0000;0,0000;0,0000
15;5;20,85;1309,9;248,31;378,83;1,79;5,16;8,40;0,0000;0,0000;0,0000
16;1;27,10;1547,5;224,00;274,60;1,74;5,47;7,79;0,0000;0,0000;0,0000
16;2;25,10;1538,5;364,19;291,30;1,52;5,30;7,37;0,0000;0,0000;0,0000
16;3;24,00;1527;389,23;302,30;1,57;5,30;6,37;0,0000;0,0000;0,0000
16;4;25,60;1517,5;392,70;303,84;1,58;5,19;5,89;0,0000;0,0000;0,0000
16;5;24,24;1510;394,62;308,92;1,40;4,95;5,36;0,0000;0,0000;0,0000
17;1;22,40;1271;196,00;188,40;1,77;5,18;10,49;0,0000;0,0000;0,0000
17;2;22,30;1271,3;256,41;194,80;1,85;5,58;10,69;0,0000;0,0000;0,0000
17;3;20,60;1271,7;262,46;223,70;1,78;5,06;10,18;0,0000;0,0000;0,0000
17;4;21,70;1271,7;263,89;236,16;1,71;4,85;9,02;0,0000;0,0000;0,0000
17;5;18,32;1271,8;265,41;243,47;1,64;4,45;7,31;0,0000;0,0000;0,0000
19;1;16,10;641,1;37,00;281,50;1,48;5,70;13,03;0,0000;0,0000;0,0000
19;2;17,20;638,3;44,05;300,40;1,49;5,55;12,25;0,0000;0,0000;0,0000
19;3;17,10;635,7;46,21;330,10;1,72;5,68;11,35;0,0000;0,0000;0,0000
19;4;15,00;633,5;46,96;346,64;1,51;5,76;10,73;0,0000;0,0000;0,0000
19;5;14,73;631,2;47,14;370,01;1,20;4,38;9,87;0,0000;0,0000;0,0000
20;1;14,00;894,5;14,00;221,20;2,84;8,35;14,03;0,0000;0,0000;0,0000
20;2;15,10;885,2;14,22;242,80;2,99;8,40;14,11;0,0000;0,0000;0,0000
20;3;15,10;876,4;15,02;268,10;2,98;8,88;12,68;0,0000;0,0000;0,0000
20;4;16,20;868,2;15,36;285,07;3,24;10,24;11,27;0,0000;0,0000;0,0000
20;5;14,53;860,6;15,52;290,63;2,90;8,97;10,50;0,0000;0,0000;0,0000
22;1;17,90;1176,9;26,61;207,30;1,68;0,28;11,16;0,0000;0,0000;0,0000
22;2;18,40;1165,3;27,97;227,50;1,70;0,30;10,88;0,0000;0,0000;0,0000
22;3;16,72;1154,1;29,25;249,90;1,56;0,38;10,26;0,0000;0,0000;0,0000
22;4;18,60;1144,4;29,21;263,10;1,58;0,33;10,63;0,0000;0,0000;0,0000
22;5;11,98;1135,1;29,47;262,40;1,52;0,36;9,12;0,0000;0,0000;0,0000
23;1;18,10;1199,9;82,00;240,40;2,06;7,10;12,35;0,0000;0,0000;0,0000
23;2;17,30;1197,4;101,30;254,70;2,08;7,03;13,14;0,0000;0,0000;0,0000
23;3;16,70;1194,8;114,16;290,10;1,99;6,69;11,45;0,0000;0,0000;0,0000
23;4;15,70;1192,2;118,26;303,69;1,87;6,43;9,63;0,0000;0,0000;0,0000
23;5;11,60;1189,3;117,78;303,50;1,67;5,88;7,17;0,0000;0,0000;0,0000
24;1;19,00;944,3;427,00;293,10;1,25;4,30;10,82;0,0000;0,0000;0,0000
24;2;20,30;950,8;440,36;310,20;1,52;5,09;11,23;0,0000;0,0000;0,0000
24;3;18,00;958,9;492,00;330,30;1,59;5,42;10,26;0,0000;0,0000;0,0000
24;4;17,00;966;511,40;332,73;1,58;5,79;6,77;0,0000;0,0000;0,0000
24;5;17,27;972,7;513,07;388,51;1,64;5,39;6,62;0,0000;0,0000;0,0000
25;1;37,20;1726,2;137,00;282,30;1,37;4,47;12,71;0,0000;0,0000;0,0000
25;2;36,80;1742,5;180,35;284,40;1,36;4,56;11,80;0,0000;0,0000;0,0000
25;3;36,10;1757,5;210,81;283,70;1,46;4,50;10,36;0,0000;0,0000;0,0000
25;4;39,80;1769,7;211,53;294,77;1,36;4,61;8,95;0,0000;0,0000;0,0000
25;5;34,37;1777,2;207,11;298,45;1,23;4,50;8,26;0,0000;0,0000;0,0000
26;1;10,60;791;20,00;266,00;1,90;4,24;10,08;0,0000;0,0000;0,0000
26;2;10,80;784,2;22,57;278,50;2,09;4,07;10,42;0,0000;1,0000;0,0000
26;3;7,60;775,7;22,63;307,10;2,12;4,03;10,64;0,0000;1,0000;0,0000
26;4;10,70;768,7;22,70;297,47;1,77;3,48;9,61;0,0000;0,0000;0,0000
26;5;7,33;764,2;22,88;300,05;1,78;3,57;9,52;0,0000;1,0000;0,0000
27;1;36,60;631,3;177,00;233,10;1,98;8,63;10,96;0,0000;0,0000;0,0000
27;2;34,40;627,8;191,63;255,10;1,62;8,66;10,81;0,0000;0,0000;0,0000
27;3;29,00;624,2;202,06;275,70;1,85;8,68;9,76;0,0000;0,0000;0,0000
27;4;32,10;620,6;196,32;291,65;1,84;8,68;9,28;0,0000;0,0000;0,0000
27;5;27,38;617,2;198,02;294,39;1,89;8,65;8,01;0,0000;0,0000;0,0000
28;1;38,30;669,1;230,00;239,50;2,18;8,35;10,15;0,0000;0,0000;0,0000
28;2;37,20;664,2;271,95;292,10;2,17;7,94;8,80;0,0000;0,0000;0,0000
28;3;33,10;659;287,41;345,30;2,15;7,95;6,71;0,0000;0,0000;0,0000
28;4;33,50;653,8;291,69;371,49;2,13;6,95;8,05;0,0000;0,0000;0,0000
28;5;27,89;648,8;299,33;375,98;2,06;6,34;7,72;0,0000;0,0000;0,0000
30;1;26,50;441,2;556,00;250,40;1,36;4,71;5,47;0,0000;0,0000;0,0000
30;2;25,00;443,5;561,50;260,80;1,42;4,78;4,82;0,0000;0,0000;0,0000
30;3;27,40;445,4;564,41;267,60;1,32;4,58;4,57;0,0000;0,0000;0,0000
