i;t;RTFR ;Pop;RoadDensity;Cars            ;Buses;Trucks;Alco;BlackIce;SnowStorm;Heat
68;1;25,30;1102,8;34,00;218,20;1,57;5,87;10,03;0,0000;0,0000;1,0000
68;2;25,20;1097,3;34,01;229,50;1,65;6,16;9,98;0,0000;0,0000;0,0000
68;3;23,40;1092,8;33,19;237,60;1,57;5,99;9,48;0,0000;0,0000;0,0000
68;4;27,20;1088,9;34,14;247,45;1,67;6,01;7,01;0,0000;0,0000;0,0000
68;5;19,63;1085,2;33,54;253,64;1,61;5,67;5,63;0,0000;0,0000;1,0000
69;1;22,50;2833,7;11,00;262,10;2,49;6,69;9,71;0,0000;1,0000;0,0000
69;2;21,80;2842,4;11,18;276,70;2,55;7,18;9,53;0,0000;1,0000;0,0000
69;3;21,60;2849,6;11,39;274,00;2,58;7,33;8,78;0,0000;1,0000;0,0000
69;4;21,00;2855,8;11,44;310,84;2,61;7,30;6,96;0,0000;0,0000;0,0000
69;5;19,81;2862,7;11,63;306,87;2,36;7,13;6,59;0,0000;1,0000;1,0000
70;1;22,10;2426,2;20,00;224,30;1,97;5,87;9,42;0,0000;0,0000;0,0000
70;2;21,80;2423,2;28,26;251,50;1,96;5,55;9,13;0,0000;0,0000;0,0000
70;3;21,80;2420,2;28,85;271,80;2,10;6,10;8,60;0,0000;0,0000;0,0000
70;4;20,50;2416,6;29,33;270,49;2,12;6,30;8,06;0,0000;0,0000;0,0000
70;5;19,85;2413,9;29,97;271,29;1,98;6,06;7,35;0,0000;0,0000;0,0000
71;1;20,20;2756,1;96,00;210,10;1,99;4,28;10,48;1,0000;1,0000;0,0000
71;2;20,50;2746,6;145,35;225,60;2,11;4,46;10,72;0,0000;0,0000;0,0000
71;3;20,10;2738,3;170,51;245,20;1,88;4,17;9,68;0,0000;0,0000;0,0000
71;4;18,30;2729,6;176,13;255,22;1,90;3,96;7,66;0,0000;0,0000;0,0000
71;5;15,99;2721,3;173,51;257,50;1,85;3,79;7,51;0,0000;1,0000;0,0000
72;1;17,40;2676,6;66,00;260,20;1,48;6,44;9,60;1,0000;1,0000;0,0000
72;2;16,80;2698,2;89,61;273,00;1,54;6,68;9,64;0,0000;0,0000;0,0000
72;3;19,30;2720,3;99,01;292,50;1,55;6,32;8,21;0,0000;0,0000;0,0000
72;4;16,50;2739;101,99;309,75;1,54;5,74;7,41;0,0000;0,0000;0,0000
72;5;13,07;2754,5;109,06;314,96;1,43;5,47;6,00;0,0000;1,0000;0,0000
73;1;15,10;1975,7;76,00;223,50;2,13;5,16;10,08;0,0000;0,0000;0,0000
73;2;19,00;1974,4;96,57;238,60;2,26;5,36;10,12;0,0000;0,0000;0,0000
73;3;16,20;1973,9;96,47;257,10;2,16;5,34;8,36;0,0000;0,0000;0,0000
73;4;13,90;1976;98,06;271,32;2,15;5,28;6,88;0,0000;0,0000;0,0000
73;5;13,09;1978,3;97,88;273,70;2,12;4,91;5,43;0,0000;0,0000;0,0000
74;1;17,30;1053,1;14,00;231,30;1,65;5,01;9,07;1,0000;1,0000;0,0000
74;2;11,90;1061;22,16;239,90;1,71;5,25;8,70;0,0000;0,0000;0,0000
74;3;13,40;1067,2;22,60;249,90;1,68;4,81;8,52;0,0000;0,0000;0,0000
74;4;12,00;1072,3;23,67;263,65;1,67;4,80;6,24;0,0000;0,0000;0,0000
74;5;10,04;1075,6;23,83;269,71;1,69;5,24;5,23;0,0000;0,0000;0,0000
75;1;16,40;957;2,70;148,00;2,21;8,00;8,84;0,0000;0,0000;0,0000
75;2;14,00;955,7;3,33;206,70;2,32;8,68;8,80;0,0000;0,0000;0,0000
75;3;16,30;955,2;3,58;220,30;2,29;8,62;8,25;0,0000;0,0000;0,0000
75;4;14,60;955,9;3,69;224,09;2,32;8,56;7,95;0,0000;0,0000;0,0000
75;5;12,42;958,3;3,80;226,55;2,33;8,63;7,54;0,0000;0,0000;0,0000
77;1;24,40;1952;51,00;281,30;1,33;4,37;9,50;0,0000;0,0000;0,0000
77;2;25,50;1948,9;87,55;346,70;1,36;4,42;9,43;0,0000;0,0000;0,0000
77;3;22,00;1942,9;88,99;369,60;1,50;4,54;9,55;0,0000;0,0000;0,0000
77;4;20,20;1935,9;89,33;382,31;1,54;4,59;9,58;0,0000;0,0000;0,0000
77;5;15,64;1931,1;93,42;388,82;1,22;3,93;8,12;0,0000;0,0000;0,0000
78;1;18,30;1342,7;7,50;195,20;1,61;5,50;13,69;0,0000;0,0000;0,0000
78;2;17,40;1342,3;8,00;214,00;1,68;5,91;13,73;0,0000;1,0000;0,0000
78;3;16,00;1341;10,73;228,70;1,68;5,97;12,06;0,0000;0,0000;0,0000
78;4;13,50;1339,1;11,85;243,02;1,75;6,03;10,93;0,0000;1,0000;0,0000
78;5;14,67;1336,5;12,39;245,55;1,70;6,55;9,38;0,0000;1,0000;0,0000
79;1;23,80;825,1;23,00;214,60;1,88;7,67;10,39;0,0000;0,0000;0,0000
79;2;23,40;819,3;29,65;234,30;2,02;7,87;10,33;0,0000;0,0000;0,0000
79;3;23,20;814,1;30,29;275,60;1,96;7,73;9,23;0,0000;0,0000;0,0000
79;4;21,00;810,6;31,34;286,27;1,97;7,53;7,87;0,0000;0,0000;0,0000
79;5;18,82;807,8;34,14;286,42;2,02;7,68;6,51;0,0000;0,0000;0,0000
80;1;23,10;155,5;4,70;286,50;2,71;10,72;12,03;0,0000;0,0000;0,0000
80;2;31,90;153,4;5,28;285,60;3,05;10,91;15,18;0,0000;0,0000;0,0000
80;3;21,10;151,4;5,15;330,30;3,17;11,96;12,64;0,0000;0,0000;0,0000
80;4;19,40;149,2;5,26;351,34;3,14;12,20;12,35;0,0000;0,0000;0,0000
80;5;20,38;147,2;5,33;350,27;3,43;12,34;11,00;0,0000;0,0000;0,0000
