i;t;Cars            ;Buses;Trucks
46;4;263,46;2,43;7,01
46;5;266,00;2,27;6,21
47;1;206,50;1,79;5,95
47;2;216,40;1,84;5,92
47;3;250,50;1,93;5,96
47;4;279,28;1,81;5,78
47;5;289,70;1,75;5,57
48;1;149,80;1,74;5,59
48;2;163,60;1,70;5,27
48;3;185,10;1,65;4,99
48;4;209,10;1,59;4,90
48;5;208,24;1,58;4,55
49;1;202,70;1,60;4,58
49;2;219,20;1,61;4,91
49;3;258,50;1,74;4,90
49;4;282,34;1,77;4,86
49;5;283,85;1,62;4,64
50;1;225,50;1,52;7,48
50;2;232,20;1,69;7,47
50;3;239,50;1,53;7,26
50;4;253,93;1,47;6,82
50;5;257,92;1,44;6,56
51;1;227,60;1,81;5,33
51;2;240,60;1,86;5,55
51;3;269,80;1,81;5,37
51;4;301,76;1,87;5,17
51;5;305,33;1,87;5,13
52;1;260,40;2,12;6,31
52;2;253,00;2,15;6,36
52;3;298,10;2,19;6,02
52;4;317,13;1,98;5,67
52;5;325,90;1,87;5,47
53;1;238,70;1,41;4,91
53;2;256,60;1,44;4,73
53;3;276,40;1,43;4,69
53;4;294,63;1,46;4,67
53;5;300,61;1,38;4,39
54;1;254,80;1,70;4,14
54;2;257,20;1,73;4,62
54;3;285,00;1,77;4,56
54;4;295,27;1,79;4,70
54;5;295,98;1,60;4,45
55;1;248,90;1,57;5,05
55;2;264,30;1,68;5,06
55;3;280,30;1,69;5,02
55;4;313,69;1,66;5,29
55;5;317,80;1,58;4,79
56;1;212,00;1,81;5,18
56;2;231,70;1,74;5,10
56;3;243,90;1,72;5,01
56;4;258,44;1,77;4,87
56;5;263,21;1,69;4,44
57;1;246,80;1,78;5,01
57;2;265,30;1,78;4,94
57;3;281,60;1,81;4,97
57;4;301,41;1,84;5,28
57;5;308,08;1,70;5,05
58;1;285,60;1,39;4,45
58;2;303,80;1,39;4,57
58;3;312,60;1,34;4,46
58;4;319,80;1,29;4,34
58;5;353,69;1,28;4,16
61;1;276,50;2,87;7,56
61;2;301,80;2,92;7,84
61;3;295,00;2,78;7,79
61;4;313,60;2,81;7,91
61;5;294,18;2,75;7,57
62;1;243,40;1,52;4,82
62;2;262,90;1,46;4,98
62;3;309,10;1,42;4,95
62;4;300,28;1,34;4,50
62;5;300,30;1,26;4,08
63;1;183,20;2,17;5,13
63;2;186,30;2,77;5,01
63;3;240,10;2,28;4,55
63;4;251,62;2,34;4,70
63;5;253,77;2,07;4,27
64;1;191,70;1,58;4,38
64;2;208,50;1,59;4,28
64;3;231,10;1,59;4,37
64;4;239,22;1,64;4,69
64;5;243,28;1,72;4,55
66;1;247,70;1,51;5,00
66;2;264,40;1,44;4,82
66;3;292,50;1,46;4,71
66;4;311,91;1,43;4,64
66;5;318,01;1,46;4,68
67;1;229,60;1,62;6,51
67;2;245,10;1,56;6,51
67;3;260,80;1,60;6,33
67;4;273,40;1,56;6,06
67;5;276,22;1,49;5,61
68;1;218,20;1,57;5,87
68;2;229,50;1,65;6,16
68;3;237,60;1,57;5,99
68;4;247,45;1,67;6,01
68;5;253,64;1,61;5,67
69;1;262,10;2,49;6,69
69;2;276,70;2,55;7,18
69;3;274,00;2,58;7,33
69;4;310,84;2,61;7,30
69;5;306,87;2,36;7,13
70;1;224,30;1,97;5,87
70;2;251,50;1,96;5,55
70;3;271,80;2,10;6,10
70;4;270,49;2,12;6,30
70;5;271,29;1,98;6,06
71;1;210,10;1,99;4,28
71;2;225,60;2,11;4,46
71;3;245,20;1,88;4,17
71;4;255,22;1,90;3,96
71;5;257,50;1,85;3,79
72;1;260,20;1,48;6,44
72;2;273,00;1,54;6,68
72;3;292,50;1,55;6,32
72;4;309,75;1,54;5,74
72;5;314,96;1,43;5,47
73;1;223,50;2,13;5,16
73;2;238,60;2,26;5,36
73;3;257,10;2,16;5,34
73;4;271,32;2,15;5,28
73;5;273,70;2,12;4,91
74;1;231,30;1,65;5,01
74;2;239,90;1,71;5,25
74;3;249,90;1,68;4,81
74;4;263,65;1,67;4,80
74;5;269,71;1,69;5,24
75;1;148,00;2,21;8,00
75;2;206,70;2,32;8,68
75;3;220,30;2,29;8,62
75;4;224,09;2,32;8,56
75;5;226,55;2,33;8,63
77;1;281,30;1,33;4,37
77;2;346,70;1,36;4,42
77;3;369,60;1,50;4,54
77;4;382,31;1,54;4,59
77;5;388,82;1,22;3,93
78;1;195,20;1,61;5,50
78;2;214,00;1,68;5,91
78;3;228,70;1,68;5,97
78;4;243,02;1,75;6,03
78;5;245,55;1,70;6,55
79;1;214,60;1,88;7,67
79;2;234,30;2,02;7,87
79;3;275,60;1,96;7,73
79;4;286,27;1,97;7,53
79;5;286,42;2,02;7,68
80;1;286,50;2,71;10,72
80;2;285,60;3,05;10,91
80;3;330,30;3,17;11,96
80;4;351,34;3,14;12,20
80;5;350,27;3,43;12,34
