i;t;RTFR ;Pop;RoadDensity
45;4;24,90;810,5;275,63
45;5;18,93;808,2;282,97
46;1;18,30;3795,3;321,00
46;2;18,20;3812,6;412,99
46;3;18,50;3830,1;406,17
46;4;16,00;3846,6;416,30
46;5;12,74;3861,9;422,65
47;1;19,40;1519,2;225,00
47;2;17,70;1517,9;229,26
47;3;17,00;1517,4;237,59
47;4;16,60;1517,3;239,56
47;5;13,77;1517,3;243,29
48;1;20,90;1248,8;321,00
48;2;21,30;1245,2;400,63
48;3;20,40;1241,7;405,27
48;4;19,80;1239;409,05
48;5;16,81;1237,4;410,47
49;1;21,70;2632,3;76,00
49;2;22,60;2632,7;117,96
49;3;22,80;2635,3;124,30
49;4;17,80;2636,6;128,28
49;5;15,97;2635,7;130,36
50;1;19,80;1333,3;85,00
50;2;18,20;1323,5;113,26
50;3;17,40;1315;114,34
50;4;18,00;1307,6;113,72
50;5;14,76;1300,9;113,79
51;1;20,90;3302,3;199,00
51;2;21,40;3293,4;279,70
51;3;22,10;3285,7;287,90
51;4;20,50;3275,8;289,62
51;5;15,99;3265,2;289,96
52;1;18,10;2027,6;110,00
52;2;18,30;2019,9;159,82
52;3;17,60;2012,3;166,53
52;4;20,90;2004,8;168,14
52;5;17,67;1997,9;167,39
53;1;22,10;1380,3;156,00
53;2;21,60;1372,6;275,39
53;3;20,40;1364,6;265,47
53;4;18,80;1358,1;278,66
53;5;17,23;1352,2;285,87
54;1;15,30;3214,7;235,00
54;2;18,40;3213,7;273,97
54;3;18,00;3212,3;283,68
54;4;16,60;3212;301,20
54;5;13,40;3209,3;304,49
55;1;17,70;2514;115,00
55;2;17,50;2506;171,03
55;3;16,80;2499,9;175,59
55;4;16,90;2494,8;173,23
55;5;14,54;2490,3;178,77
56;1;18,00;1286,3;166,00
56;2;16,60;1278,3;180,04
56;3;19,00;1271;215,00
56;4;17,60;1265,1;221,00
56;5;15,56;1260,1;237,36
57;1;23,90;902,5;109,00
57;2;26,40;891;126,52
57;3;29,60;881,5;128,72
57;4;26,70;873,5;129,71
57;5;22,87;865,9;131,67
58;1;17,40;4302,4;66,00
58;2;19,40;4311,7;93,16
58;3;15,70;4318,2;116,57
58;4;14,70;4324,1;121,09
58;5;12,06;4328,7;122,70
61;1;22,90;1352,4;51,41
61;2;27,70;1373,3;82,02
61;3;24,80;1397,2;81,86
61;4;19,20;1419,3;82,87
61;5;15,81;1442;83,83
62;1;17,40;3477,9;111,00
62;2;18,40;3482,7;111,42
62;3;18,00;3487,7;186,71
62;4;18,10;3493,6;190,37
62;5;15,38;3499;194,70
63;1;28,90;207,5;33,00
63;2;40,10;209,4;44,37
63;3;28,40;211;45,49
63;4;24,00;212,7;46,66
63;5;27,04;214,4;48,48
64;1;27,30;971,5;20,00
64;2;24,40;971,6;23,06
64;3;24,40;972,8;24,45
64;4;21,10;976,2;24,49
64;5;16,63;980,4;25,84
66;1;25,40;532,2;46,00
66;2;28,00;532,6;75,25
66;3;22,50;533,6;79,66
66;4;22,60;534,9;87,76
66;5;21,63;536,3;87,02
67;1;17,90;2412,3;208,00
67;2;16,90;2403;221,29
67;3;16,20;2394,7;227,80
67;4;14,60;2387,7;224,33
67;5;13,15;2380,8;220,66
68;1;25,30;1102,8;34,00
68;2;25,20;1097,3;34,01
68;3;23,40;1092,8;33,19
68;4;27,20;1088,9;34,14
68;5;19,63;1085,2;33,54
69;1;22,50;2833,7;11,00
69;2;21,80;2842,4;11,18
69;3;21,60;2849,6;11,39
69;4;21,00;2855,8;11,44
69;5;19,81;2862,7;11,63
70;1;22,10;2426,2;20,00
70;2;21,80;2423,2;28,26
70;3;21,80;2420,2;28,85
70;4;20,50;2416,6;29,33
70;5;19,85;2413,9;29,97
71;1;20,20;2756,1;96,00
71;2;20,50;2746,6;145,35
71;3;20,10;2738,3;170,51
71;4;18,30;2729,6;176,13
71;5;15,99;2721,3;173,51
