i;t;Alco;BlackIce;SnowStorm;Heat
32;4;6,29;1,0000;0,0000;1,0000
32;5;5,93;0,0000;0,0000;0,0000
33;1;8,35;0,0000;0,0000;0,0000
33;2;8,82;0,0000;0,0000;0,0000
33;3;7,89;0,0000;0,0000;0,0000
33;4;6,77;0,0000;0,0000;1,0000
33;5;4,97;0,0000;0,0000;1,0000
34;1;7,09;0,0000;0,0000;0,0000
34;2;6,93;0,0000;0,0000;0,0000
34;3;6,92;1,0000;0,0000;0,0000
34;4;6,31;0,0000;0,0000;1,0000
34;5;4,95;0,0000;0,0000;0,0000
35;1;5,73;0,0000;0,0000;0,0000
35;2;5,78;0,0000;0,0000;0,0000
35;3;5,64;1,0000;0,0000;0,0000
35;4;5,41;0,0000;1,0000;0,0000
35;5;5,31;0,0000;0,0000;0,0000
36;1;3,90;0,0000;0,0000;0,0000
36;2;3,75;0,0000;0,0000;0,0000
36;3;2,40;0,0000;0,0000;0,0000
36;4;1,54;0,0000;0,0000;0,0000
36;5;1,10;0,0000;0,0000;1,0000
38;1;2,96;0,0000;0,0000;0,0000
38;2;2,33;0,0000;0,0000;0,0000
38;3;1,76;0,0000;0,0000;0,0000
38;4;1,24;0,0000;0,0000;1,0000
38;5;1,18;0,0000;0,0000;0,0000
39;1;2,80;0,0000;0,0000;0,0000
39;2;2,86;0,0000;0,0000;0,0000
39;3;2,20;0,0000;0,0000;0,0000
39;4;2,05;0,0000;0,0000;0,0000
39;5;2,02;0,0000;0,0000;0,0000
40;1;2,65;0,0000;0,0000;0,0000
40;2;2,54;0,0000;0,0000;0,0000
40;3;2,21;0,0000;0,0000;0,0000
40;4;1,70;0,0000;0,0000;0,0000
40;5;1,36;0,0000;0,0000;0,0000
42;1;6,72;1,0000;0,0000;1,0000
42;2;6,76;0,0000;0,0000;0,0000
42;3;6,12;1,0000;0,0000;0,0000
42;4;5,38;0,0000;0,0000;1,0000
42;5;4,75;1,0000;0,0000;1,0000
43;1;8,19;0,0000;0,0000;0,0000
43;2;9,34;0,0000;0,0000;0,0000
43;3;9,66;0,0000;0,0000;0,0000
43;4;8,27;1,0000;0,0000;0,0000
43;5;5,15;1,0000;1,0000;0,0000
44;1;8,00;0,0000;0,0000;0,0000
44;2;8,00;0,0000;0,0000;0,0000
44;3;7,17;0,0000;0,0000;0,0000
44;4;6,96;1,0000;0,0000;0,0000
44;5;6,65;0,0000;0,0000;0,0000
45;1;8,23;0,0000;0,0000;0,0000
45;2;8,30;0,0000;0,0000;0,0000
45;3;8,08;0,0000;0,0000;0,0000
45;4;7,30;0,0000;0,0000;0,0000
45;5;5,23;0,0000;0,0000;0,0000
46;1;10,30;0,0000;0,0000;0,0000
46;2;10,44;0,0000;1,0000;0,0000
46;3;9,12;0,0000;0,0000;0,0000
46;4;8,33;0,0000;0,0000;0,0000
46;5;7,83;0,0000;1,0000;0,0000
47;1;11,11;0,0000;0,0000;0,0000
47;2;11,40;0,0000;0,0000;0,0000
47;3;9,85;0,0000;0,0000;0,0000
47;4;8,46;0,0000;0,0000;0,0000
47;5;7,82;0,0000;0,0000;0,0000
48;1;8,62;0,0000;0,0000;0,0000
48;2;8,69;0,0000;0,0000;0,0000
48;3;7,74;0,0000;0,0000;0,0000
48;4;6,95;1,0000;0,0000;0,0000
48;5;6,40;0,0000;0,0000;0,0000
49;1;9,16;0,0000;0,0000;0,0000
49;2;9,23;0,0000;0,0000;0,0000
49;3;8,51;0,0000;0,0000;0,0000
49;4;7,54;0,0000;0,0000;0,0000
49;5;6,46;1,0000;0,0000;0,0000
